ID	Kor	Jap	Eng
707	클레피	クレッフィ	Klefki
708	나목령	ボクレ?	Phantump
709	대로트	オ?ロット	Trevenant
710	호바귀	バケッチャ	Pumpkaboo
711	펌킨인	パンプジン	Gourgeist
712	꽁어름	カチコ?ル	Bergmite
713	크레베이스	クレベ?ス	Avalugg
714	음뱃	オンバット	Noibat
715	음번	オンバ?ン	Noivern
716	제르네아스	ゼルネアス	Xerneas
717	이벨타르	イベルタル	Yveltal
718	지가르데	ジガルデ	Zygarde
719	디안시	ディアンシ?	Diancie
720	후파	フ?パ	Hoopa
721	볼케니온	ボルケニオン	Volcanion
722	나몰빼미	モクロ?	Rowlet
723	빼미스로우	フクスロ?	Dartrix
724	모크나이퍼	ジュナイパ?	Decidueye
725	냐오불	ニャビ?	Litten
726	냐오히트	ニャヒ?ト	Torracat
727	어흥염	ガオガエン	Incineroar
728	누리공	アシマリ	Popplio
729	키요공	オシャマリ	Brionne
730	누리레느	アシレ?ヌ	Primarina
731	콕코구리	ツツケラ	Pikipek
732	크라파	ケララッパ	Trumbeak
733	왕큰부리	ドデカバシ	Toucannon
734	영구스	ヤング?ス	Yungoos
735	형사구스	デカグ?ス	Gumshoos
736	턱지충이	アゴジムシ	Grubbin
737	전지충이	デンヂムシ	Charjabug
738	투구뿌논	クワガノン	Vikavolt
739	오기지게	マケンカニ	Crabrawler
740	모단단게	ケケンカニ	Crabominable
741	춤추새	オドリドリ	Oricorio
742	에블리	アブリ?	Cutiefly
743	에리본	アブリボン	Ribombee
744	암멍이	イワンコ	Rockruff
745	루가루암	ルガルガン	Lycanroc
746	약어리	ヨワシ	Wishiwashi
747	시마사리	ヒドイデ	Mareanie
748	더시마사리	ドヒドイデ	Toxapex
749	머드나기	ドロバンコ	Mudbray
750	만마드	バンバドロ	Mudsdale
751	물거미	シズクモ	Dewpider
752	깨비물거미	オニシズクモ	Araquanid
753	짜랑랑	カリキリ	Fomantis
754	라란티스	ラランテス	Lurantis
755	자마슈	ネマシュ	Morelull
756	마셰이드	マシェ?ド	Shiinotic
757	야도뇽	ヤトウモリ	Salandit
758	염뉴트	エンニュ?ト	Salazzle
759	포곰곰	ヌイコグマ	Stufful
760	이븐곰	キテルグマ	Bewear
761	달콤아	アマカジ	Bounsweet
762	달무리나	アママイコ	Steenee
763	달코퀸	アマ?ジョ	Tsareena
764	큐아링	キュワワ?	Comfey
765	하랑우탄	ヤレユ?タン	Oranguru
766	내던숭이	ナゲツケサル	Passimian
767	꼬시레	コソクムシ	Wimpod
768	갑주무사	グソクムシャ	Golisopod
769	모래꿍	スナバァ	Sandygast
770	모래성이당	シロデスナ	Palossand
771	해무기	ナマコブシ	Pyukumuku
772	타입:널	タイプ：ヌル	Type: Null
773	실버디	シルヴァディ	Silvally
774	메테노	メテノ	Minior
775	자말라	ネッコアラ	Komala
776	폭거북스	バクガメス	Turtonator
777	토게데마루	トゲデマル	Togedemaru
778	따라큐	ミミッキュ	Mimikyu
779	치갈기	ハギギシリ	Bruxish
780	할비롱	ジジ?ロン	Drampa
781	타타륜	ダダリン	Dhelmise
782	짜랑꼬	ジャラコ	Jangmo-o
783	짜랑고우	ジャランゴ	Hakamo-o
784	짜랑고우거	ジャラランガ	Kommo-o
785	카푸꼬꼬꼭	カプ?コケコ	Tapu Koko
786	카푸나비나	カプ?テテフ	Tapu Lele
787	카푸브루루	カプ?ブルル	Tapu Bulu
788	카푸느지느	カプ?レヒレ	Tapu Fini
789	코스모그	コスモッグ	Cosmog
790	코스모움	コスモウム	Cosmoem
791	솔가레오	ソルガレオ	Solgaleo
792	루나아라	ルナア?ラ	Lunala
793	텅비드	ウツロイド	Nihilego
794	매시붕	マッシブ?ン	Buzzwole
795	페로코체	フェロ?チェ	Pheromosa
796	전수목	デンジュモク	Xurkitree
797	철화구야	テッカグヤ	Celesteela
798	종이신도	カミツルギ	Kartana
799	악식킹	アクジキング	Guzzlord
800	네크로즈마	ネクロズマ	Necrozma
801	마기아나	マギアナ	Magearna
802	마샤도	マ?シャド?	Marshadow
803	베베놈	ベベノム	Poipole
804	아고용	ア?ゴヨン	Naganadel
805	차곡차곡	ツンデツンデ	Stakataka
806	두파팡	ズガド?ン	Blacephalon
807	제라오라	ゼラオラ	Zeraora
808	멜탄	メルタン	Meltan
809	멜메탈	メルメタル	Melmetal
810	흥나숭	サルノリ	Grookey
811	채키몽	バチンキ?	Thwackey
812	고릴타	ゴリランダ?	Rillaboom
813	염버니	ヒバニ?	Scorbunny
814	래비풋	ラビフット	Raboot
815	에이스번	エ?スバ?ン	Cinderace
816	울머기	メッソン	Sobble
817	누겔레온	ジメレオン	Drizzile
818	인텔리레온	インテレオン	Inteleon
819	탐리스	ホシガリス	Skwovet
820	요씽리스	ヨクバリス	Greedent
821	파라꼬	ココガラ	Rookiedee
822	파크로우	アオガラス	Corvisquire
823	아머까오	ア?マ?ガア	Corviknight
824	두루지벌레	サッチムシ	Blipbug
825	레돔벌레	レド?ムシ	Dottler
826	이올브	イオルブ	Orbeetle
827	훔처우	クスネ	Nickit
828	폭슬라이	フォクスライ	Thievul
829	꼬모카	ヒメンカ	Gossifleur
830	백솜모카	ワタシラガ	Eldegoss
831	우르	ウ?ル?	Wooloo
832	배우르	バイウ?ル?	Dubwool
833	깨물부기	カムカメ	Chewtle
834	갈가부기	カジリガメ	Drednaw
835	멍파치	ワンパチ	Yamper
836	펄스멍	パルスワン	Boltund
837	탄동	タンドン	Rolycoly
838	탄차곤	トロッゴン	Carkol
839	석탄산	セキタンザン	Coalossal
840	과사삭벌레	カジッチュ	Applin
841	애프룡	アップリュ?	Flapple
842	단지래플	タルップル	Appletun
843	모래뱀	スナヘビ	Silicobra
844	사다이사	サダイジャ	Sandaconda
845	윽우지	ウッウ	Cramorant
846	찌로꼬치	サシカマス	Arrokuda
847	꼬치조	カマスジョ?	Barraskewda
848	일레즌	エレズン	Toxel
849	스트린더	ストリンダ?	Toxtricity
850	태우지네	ヤクデ	Sizzlipede
851	다태우지네	マルヤクデ	Centiskorch
852	때때무노	タタッコ	Clobbopus
853	케오퍼스	オトスパス	Grapploct
854	데인차	ヤバチャ	Sinistea
855	포트데스	ポットデス	Polteageist
856	몸지브림	ミブリム	Hatenna
857	손지브림	テブリム	Hattrem
858	브리무음	ブリムオン	Hatterene
859	메롱꿍	ベロバ?	Impidimp
860	쏘겨모	ギモ?	Morgrem
861	오롱털	オ?ロンゲ	Grimmsnarl
862	가로막구리	タチフサグマ	Obstagoon
863	나이킹	ニャイキング	Perrserker
864	산호르곤	サニゴ?ン	Cursola
865	창파나이트	ネギガナイト	Sirfetch'd
866	마임꽁꽁	バリコオル	Mr. Rime
867	데스판	デスバ?ン	Runerigus
868	마빌크	マホミル	Milcery
869	마휘핑	マホイップ	Alcremie
870	대여르	タイレ?ツ	Falinks
871	찌르성게	バチンウニ	Pincurchin
872	누니머기	ユキハミ	Snom
873	모스노우	モスノウ	Frosmoth
874	돌헨진	イシヘンジン	Stonjourner
875	빙큐보	コオリッポ	Eiscue
876	에써르	イエッサン	Indeedee
877	모르페코	モルペコ	Morpeko
878	끼리동	ゾウドウ	Cufant
879	대왕끼리동	ダイオウドウ	Copperajah
880	파치래곤	パッチラゴン	Dracozolt
881	파치르돈	パッチルドン	Arctozolt
882	어래곤	ウオノラゴン	Dracovish
883	어치르돈	ウオチルドン	Arctovish
884	두랄루돈	ジュラルドン	Duraludon
885	드라꼰	ドラメシヤ	Dreepy
886	드래런치	ドロンチ	Drakloak
887	드래펄트	ドラパルト	Dragapult
888	자시안	ザシアン	Zacian
889	자마젠타	ザマゼンタ	Zamazenta
890	무한다이노	ムゲンダイナ	Eternatus
891	치고마	ダクマ	Kubfu
892	우라오스	ウ?ラオス	Urshifu
893	자루도	ザル?ド	Zarude
894	레지에레키	レジエレキ	Regieleki
895	레지드래고	レジドラゴ	Regidrago
896	블리자포스	ブリザポス	Glastrier
897	레이스포스	レイスポス	Spectrier
898	버드렉스	バドレックス	Calyrex
899	신비록	アヤシシ	Wyrdeer
900	사마자르	バサギリ	Kleavor
901	다투곰	ガチグマ	Ursaluna
902	대쓰여너	イダイトウ	Basculegion
903	포푸니크	オオニュ?ラ	Sneasler
904	장침바루	ハリ?マン	Overqwil
905	러브로스	ラブトロス	Enamorus
906	나오하	ニャオハ	Sprigatito
907	나로테	ニャロ?テ	Floragato
908	마스카나	マスカ?ニャ	Meowscarada
909	뜨아거	ホゲ?タ	Fuecoco
910	악뜨거	アチゲ?タ	Crocalor
911	라우드본	ラウドボ?ン	Skeledirge
912	꾸왁스	クワッス	Quaxly
913	아꾸왁	ウェルカモ	Quaxwell
914	웨이니발	ウェ?ニバル	Quaquaval
915	맛보돈	グルトン	Lechonk
916	퍼퓨돈	パフュ?トン	Oinkologne
917	타랜툴라	タマンチュラ	Tarountula
918	트래피더	ワナイダ?	Spidops
919	콩알뚜기	マメバッタ	Nymble
920	엑스레그	エクスレッグ	Lokix
921	빠모	パモ	Pawmi
922	빠모트	パモット	Pawmo
923	빠르모트	パ?モット	Pawmot
924	두리쥐	ワッカネズミ	Tandemaus
925	파밀리쥐	イッカネズミ	Maushold
926	쫀도기	パピモッチ	Fidough
927	바우첼	バウッツェル	Dachsbun
928	미니브	ミニ?ブ	Smoliv
929	올리뇨	オリ?ニョ	Dolliv
930	올리르바	オリ?ヴァ	Arboliva
931	시비꼬	イキリンコ	Squawkabilly
932	베베솔트	コジオ	Nacli
933	스태솔트	ジオヅム	Naclstack
934	콜로솔트	キョジオ?ン	Garganacl
935	카르본	カルボウ	Charcadet
936	카디나르마	グレンアルマ	Armarouge
937	파라블레이즈	ソウブレイズ	Ceruledge
938	빈나두	ズピカ	Tadbulb
939	찌리배리	ハラバリ?	Bellibolt
940	찌리비	カイデン	Wattrel
941	찌리비크	タイカイデン	Kilowattrel
942	오라티프	オラチフ	Maschiff
943	마피티프	マフィティフ	Mabosstiff
944	땃쭈르	シルシュル?	Shroodle
945	태깅구르	タギングル	Grafaiai
946	그푸리	アノクサ	Bramblin
947	공푸리	アノホラグサ	Brambleghast
948	들눈해	ノノクラゲ	Toedscool
949	육파리	リククラゲ	Toedscruel
950	절벼게	ガケガニ	Klawf
951	캡싸이	カプサイジ	Capsakid
952	스코빌런	スコヴィラン	Scovillain
953	구르데	シガロコ	Rellor
954	베라카스	ベラカス	Rabsca
955	하느라기	ヒラヒナ	Flittle
956	클레스퍼트라	クエスパトラ	Espathra
957	어리짱	カヌチャン	Tinkatink
958	벼리짱	ナカヌチャン	Tinkatuff
959	두드리짱	デカヌチャン	Tinkaton
960	바다그다	ウミディグダ	Wiglett
961	바닥트리오	ウミトリオ	Wugtrio
962	떨구새	オトシドリ	Bombirdier
963	맨돌핀	ナミイルカ	Finizen
964	돌핀맨	イルカマン	Palafin
965	부르롱	ブロロン	Varoom
966	부르르룸	ブロロロ?ム	Revavroom
967	모토마	モトトカゲ	Cyclizar
968	꿈트렁	ミミズズ	Orthworm
969	초롱순	キラ?メ	Glimmet
970	킬라플로르	キラフロル	Glimmora
971	망망이	ボチ	Greavard
972	묘두기	ハカドッグ	Houndstone
973	꼬이밍고	カラミンゴ	Flamigo
974	터벅고래	アルクジラ	Cetoddle
975	우락고래	ハルクジラ	Cetitan
976	가비루사	ミガル?サ	Veluza
977	어써러셔	ヘイラッシャ	Dondozo
978	싸리용	シャリタツ	Tatsugiri
979	저승갓숭	コノヨザル	Annihilape
980	토오	ドオ?	Clodsire
981	키키링	リキキリン	Farigiraf
982	노고고치	ノココッチ	Dudunsparce
983	대도각참	ドドゲザン	Kingambit
984	위대한엄니	イダイナキバ	Great Tusk
985	우렁찬꼬리	サケブシッポ	Scream Tail
986	사나운버섯	アラブルタケ	Brute Bonnet
987	날개치는머리	ハバタクカミ	Flutter Mane
988	땅을기는날개	チヲハウハネ	Slither Wing
989	모래털가죽	スナノケガワ	Sandy Shocks
990	무쇠바퀴	テツノワダチ	Iron Treads
991	무쇠보따리	テツノツツミ	Iron Bundle
992	무쇠손	テツノカイナ	Iron Hands
993	무쇠머리	テツノコウベ	Iron Jugulis
994	무쇠독나방	テツノドクガ	Iron Moth
995	무쇠가시	テツノイバラ	Iron Thorns
996	드니차	セビエ	Frigibax
997	드니꽁	セゴ?ル	Arctibax
998	드닐레이브	セグレイブ	Baxcalibur
999	모으령	コレクレ?	Gimmighoul
1000	타부자고	サ?フゴ?	Gholdengo
1001	총지엔	チオンジェン	Wo-Chien
1002	파오젠	パオジアン	Chien-Pao
1003	딩루	ディンル?	Ting-Lu
1004	위유이	イ?ユイ	Chi-Yu
1005	고동치는달	トドロクツキ	Roaring Moon
1006	무쇠무인	テツノブジン	Iron Valiant
1007	코라이돈	コライドン	Koraidon
1008	미라이돈	ミライドン	Miraidon
1009	굽이치는물결	ウネルミナモ	Walking Wake
1010	무쇠잎새	テツノイサハ	Iron Leaves
1011	과미르	カミッチュ	Dipplin
1012	차데스	チャデス	Poltchageist
1013	그우린차	ヤバソチャ	Sinistcha
1014	조타구	イイネイヌ	Okidogi
1015	이야후	マシマシラ	Munkidori
1016	기로치	キチキギス	Fezandipiti
1017	오거폰	オ?ガポン	Ogerpon
1018	브리두라스	ブリジュラス	Archaludon
1019	과미드라	カミツオロチ	Hydrapple
1020	꿰뚫는화염	ウガツホムラ	Gouging Fire
1021	날뛰는우레	タケルライコ	Raging Bolt
1022	무쇠암석	テツノイワオ	Iron Boulder
1023	무쇠감투	テツノカシラ	Iron Crown
1024	테라파고스	テラパゴス	Terapagos
1025	복숭악동	モモワロウ	Pecharunt
