Num	Jap	Eng	Kor
634	メテオドライブ	Sunsteel Strike	메테오드라이브
635	すなあつめ	Shore Up	모래모으기
636	うたかたのアリア	Sparkling Aria	물거품아리아
637	くちばしキャノン	Beak Blast	부리캐논
638	じだんだ	Stomping Tantrum	분함의발구르기
639	ほのおのムチ	Fire Lash	불꽃채찍
640	もえつきる	Burn Up	불사르기
641	サイコファング	Psychic Fangs	사이코팽
642	サイコフィ?ルド	Psychic Terrain	사이코필드
643	シャド?レイ	Moongeist Beam	섀도레이
644	シャド?ボ?ン	Shadow Bone	섀도본
645	シャド?スチ?ル	Spectral Thief	섀도스틸
646	ぶんまわす	Brutal Swing	세차게휘두르기
647	ソ?ラ?ブレ?ド	Solar Blade	솔라블레이드
648	スマ?トホ?ン	Smart Strike	스마트호른
649	スケイルノイズ	Clanging Scales	스케일노이즈
650	スポットライト	Spotlight	스포트라이트
651	スピ?ドスワップ	Speed Swap	스피드스웹
652	アイスハンマ?	Ice Hammer	아이스해머
653	アクアブレイク	Liquidation	아쿠아브레이크
654	アンカ?ショット	Anchor Shot	앵커숏
655	アシストギア	Gear Up	어시스트기어
656	アクセルロック	Accelerock	엑셀록
657	とぎすます	Laser Focus	예민해지기
658	オ?ロラベ?ル	Aurora Veil	오로라베일
659	しぜんのいかり	Nature's Madness	자연의분노
660	めざめるダンス	Revelation Dance	잠재댄스
661	じょうか	Purify	정화
662	じごくづき	Throat Chop	지옥찌르기
663	さいはい	Instruct	지휘
664	びりびりちくちく	Zing Zap	찌리리따끔따끔
665	コアパニッシャ?	Core Enforcer	코어퍼니셔
666	ト?チカ	Baneful Bunker	토치카
667	トラップシェル	Shell Trap	트랩셸
668	トロピカルキック	Trop Kick	트로피컬킥
669	プリズムレ?ザ?	Prismatic Laser	프리즘레이저
670	フラワ?ヒ?ル	Floral Healing	플라워힐
671	フル?ルカノン	Fleur Cannon	플뢰르캐논
672	ちからをすいとる	Strength Sap	힘흡수
673	ダブルパンツァ?	Double Iron Bash	더블펀처
674	ダイマックスほう	Dynamax Cannon	다이맥스포
675	ねらいうち	Snipe Shot	노려맞히기
676	くらいつく	Jaw Lock	물고버티기
677	ほおばる	Stuff Cheeks	볼가득넣기
678	はいすいのじん	No Retreat	배수의진
679	タ?ルショット	Tar Shot	타르숏
680	まほうのこな	Magic Powder	마법가루
681	ドラゴンアロ?	Dragon Darts	드래곤애로
682	おちゃかい	Teatime	다과회
683	たこがため	Octolock	문어굳히기
684	でんげきくちばし	Bolt Beak	전격부리
685	エラがみ	Fishious Rend	아가미물기
686	コ?トチェンジ	Court Change	코트체인지
687	ソウルビ?ト	Clangorous Soul	소울비트
688	ボディプレス	Body Press	바디프레스
689	デコレ?ション	Decorate	데코레이션
690	ドラムアタック	Drum Beating	드럼어택
691	トラバサミ	Snap Trap	집게덫
692	かえんボ?ル	Pyro Ball	화염볼
693	きょじゅうざん	Behemoth Blade	거수참
694	きょじゅうだん	Behemoth Bash	거수탄
695	オ?ラぐるま	Aura Wheel	오라휠
696	ワイドブレイカ?	Breaking Swipe	와이드브레이커
697	えだづき	Branch Poke	가지찌르기
698	オ?バ?ドライブ	Overdrive	오버드라이브
699	りんごさん	Apple Acid	사과산
700	Ｇのちから	Grav Apple	G의힘
701	ソウルクラッシュ	Spirit Break	소울크래시
702	ワンダ?スチ?ム	Strange Steam	원더스팀
703	いのちのしずく	Life Dew	생명의물방울
704	ブロッキング	Obstruct	블로킹
705	どげざつき	False Surrender	사죄의찌르기
706	スタ?アサルト	Meteor Assault	스타어설트
707	てっていこうせん	Steel Beam	철제광선
708	ねっさのあらし	Sandsear Storm	열사의폭풍
709	ふんどのこぶし	Rage Fist	분노의주먹
710	くさわけ	Trailblaze	개척하기
711	ねっさのだいち	Scorching Sands	열사의대지
712	トリプルアクセル	Triple Axel	트리플악셀
713	かみなりあらし	Wildbolt Storm	번개폭풍
714	メテオビ?ム	Meteor Beam	메테오빔
715	こがらしあらし	Bleakwind Storm	찬바람폭풍
716	シザ?クロス	X-Scissor	시저크로스
717	ポルタ?ガイスト	Poltergeist	폴터가이스트
718	Vジェネレ?ト	V-Create	V제너레이트
